week,n_obs,static_f1,static_f1_std,static_folds,temporal_f1,temporal_f1_std,temporal_folds,all_f1,all_f1_std,all_folds
3,240,0.550016406824884,0.04994138572132322,"[0.532459167241776, 0.4807692307692308, 0.6146944842597016, 0.5994152046783626, 0.5227439471753486]",0.8272523666379797,0.0906372300961948,"[0.7618899997416623, 0.7552480782669462, 0.8857142857142857, 0.9787045252883763, 0.7547049441786283]",0.8116617152399922,0.08053807274783341,"[0.7229951690821257, 0.7542483660130719, 0.8252786053183273, 0.9563636363636364, 0.7994227994227994]"
4,320,0.6301202349265944,0.03017773203418889,"[0.6069940908650586, 0.5981078588749615, 0.6832755349080677, 0.6402336402336403, 0.6219900497512438]",0.86955013042219,0.05337477699086134,"[0.8989749528220964, 0.8239737274220033, 0.8733554027671674, 0.950591868244982, 0.800854700854701]",0.8881393707986176,0.04841216362962879,"[0.8991387150270155, 0.8624969389345266, 0.8911064425770308, 0.9676767676767678, 0.8202779897777469]"
5,400,0.5799253119187374,0.0446582123584506,"[0.5673231760188282, 0.543244458277138, 0.6429467084639499, 0.6199677938808373, 0.5261444229529336]",0.8774124798377191,0.04661952854602806,"[0.8768781701598239, 0.8720480061943476, 0.8592407136710934, 0.9609247802018887, 0.817970728961441]",0.8580556670687306,0.05157353450094704,"[0.8544258544258545, 0.8306934895170189, 0.8672819160624039, 0.947089947089947, 0.7907871282484287]"
6,480,0.6002038593393306,0.023845827235017318,"[0.6186067019400353, 0.6013645224171539, 0.6145183781934906, 0.6126275777438569, 0.5539021164021164]",0.8852727074764826,0.04324127283490193,"[0.8867085295656724, 0.8601851404652661, 0.860000857575145, 0.9683952469378608, 0.8510737628384688]",0.8612877759532935,0.04601401612266793,"[0.8790304237439218, 0.8601851404652661, 0.8374692663064757, 0.934437588989084, 0.7953164602617195]"
7,560,0.5858753093799081,0.028352780832551126,"[0.6164382215671825, 0.5651152768799829, 0.6153155319354447, 0.5888102774157512, 0.5436972391011786]",0.9022956610149905,0.035432076551261626,"[0.8869998807751921, 0.8854605773323305, 0.8865297935506664, 0.9729568102491561, 0.8795312431676067]",0.887147378403292,0.04122672897217517,"[0.8810316875460574, 0.8621613791105317, 0.8883780288071512, 0.9628647214854112, 0.8413010750673088]"
8,640,0.6121187093471925,0.011139718456632499,"[0.6116626171468241, 0.609967320261438, 0.6320876238960237, 0.6091896407685882, 0.5976863446630888]",0.8973951775124274,0.04409568603376376,"[0.8823477401570708, 0.8717850377137012, 0.8630097172773267, 0.9841191066997519, 0.8857142857142857]",0.8896289826471696,0.034660212796436475,"[0.8752876887178157, 0.8659898716472912, 0.9014093137254902, 0.9515151515151515, 0.8539428876300992]"
9,720,0.6031059716070744,0.03306300925012805,"[0.5966137566137566, 0.6065270703640823, 0.6345029239766081, 0.6338040333376517, 0.5440820737432727]",0.9011449978956538,0.03975457271615852,"[0.8797345422187139, 0.8669312240972994, 0.8872549019607843, 0.9787045252883763, 0.8930997959130952]",0.8923243301904564,0.028158539426961914,"[0.8897093865110923, 0.8815544608648057, 0.8914294227591625, 0.9427015158947049, 0.8562268649225171]"
10,800,0.5858286446653147,0.032777382455709984,"[0.5587301587301586, 0.5645884701185864, 0.6385598141695703, 0.6100529100529101, 0.5572118702553485]",0.9006244288621449,0.03772893615499056,"[0.8933353165749418, 0.8524211261522061, 0.8910075620170864, 0.9687359267023837, 0.8976222128641064]",0.8902864881095015,0.036156704940658896,"[0.8713132257206092, 0.8437105489067313, 0.909884717030922, 0.9490907145913564, 0.8774332342978886]"
11,880,0.5491888985634887,0.035146449749944846,"[0.5463414634146341, 0.5258499223986713, 0.6112972021805757, 0.5549019508410371, 0.5075539539825255]",0.9088393200349418,0.037898868948370204,"[0.8948227200129429, 0.8848407689871104, 0.87932363207761, 0.9829646383578968, 0.9022448407391495]",0.8929654732617479,0.03509503327626003,"[0.8469516126495887, 0.8808291382183117, 0.9002560163850486, 0.9540830891743671, 0.8827075098814229]"
12,960,0.5388986200225072,0.031043348810193286,"[0.5099814552198102, 0.5326182938123236, 0.5868298965073159, 0.5604988570779454, 0.504564597495141]",0.8918080723009414,0.04674239638262109,"[0.8342053813224459, 0.8883458220718898, 0.8638519924098671, 0.9740696584093737, 0.8985675072911304]",0.8704830025369157,0.039513215037211585,"[0.8232765974606897, 0.8480704480704481, 0.8988350292012673, 0.9324709502591507, 0.8497619876930221]"
13,1040,0.520184392660896,0.022491857626341847,"[0.4824598183088749, 0.5324876673713882, 0.5464933606639866, 0.5311936900131821, 0.5082874269470486]",0.901059464648425,0.04517315405582352,"[0.8300409918842911, 0.9015014719240071, 0.8904349676587002, 0.9712367298793213, 0.9120831618958052]",0.8663059751849271,0.04094471426385343,"[0.8212525318434539, 0.8429906542056075, 0.9010376851638652, 0.9280517423723049, 0.8381972623394045]"
14,1120,0.49574670737975557,0.03546202672478801,"[0.49418685602896134, 0.44261300722187924, 0.5378654381570248, 0.5303987341534275, 0.4736695013374855]",0.8991833111969377,0.047442165170017585,"[0.8300795436166615, 0.8910756180541992, 0.8874919890762755, 0.9777242199709361, 0.9095451852666167]",0.8721064918461534,0.038529734847771835,"[0.8218585138371234, 0.8521745980592259, 0.9034716329565646, 0.9286857478947875, 0.8543419664830658]"
15,1200,0.492246126432385,0.0271589982281954,"[0.4668572316178699, 0.49652838643208397, 0.508220392012182, 0.5319389485585077, 0.4576856735412817]",0.9017892185302211,0.0389597873885178,"[0.8551478615386102, 0.8766246254837915, 0.903325282017776, 0.9709047759305381, 0.9029435476803899]",0.8713697392730742,0.04527878228645997,"[0.8151497750980955, 0.857687218118433, 0.9141360764696213, 0.933444513932319, 0.8364311127469022]"
16,1280,0.5075222663971465,0.03122565287583062,"[0.4924312186591661, 0.47858535226956284, 0.540116507546662, 0.5498613380874561, 0.4766169154228856]",0.900769228852522,0.0381068502686642,"[0.8445863984669622, 0.8896351752822341, 0.9006953361599032, 0.963700030284676, 0.9052292040688341]",0.8561257107901733,0.03984428541299595,"[0.7988551376105133, 0.8409758329404774, 0.8777424353641629, 0.9180693717089276, 0.8449857763267851]"
17,1360,0.5051682586393791,0.03913551697986079,"[0.4844372464865841, 0.4600883377346549, 0.5328114531542015, 0.5672837150127227, 0.4812205408087323]",0.8945361708931273,0.0477437419151933,"[0.832276905319814, 0.8632205346833645, 0.9070650346221947, 0.9744243818471686, 0.8956939979930949]",0.846977200357862,0.04035373561787302,"[0.8076009656162327, 0.8332767542851025, 0.860472363457438, 0.918914205998605, 0.8146217124319314]"
